alberto fujimori,-0.026685,0.0796062,0.164576,-0.00609879,-0.114333,-0.070814,-0.116615,-0.0628137,0.0827003,-0.0918209,0.301586,-0.0587782,-0.204568,-0.00488976,-0.0323672,0.145603,-0.193439,-0.0315531,-0.0711504,-0.0356597,0.0635597,0.0326501,0.0282721,-0.10754,-0.110258,-0.37759,-0.13072,-0.0435179,0.113535,-0.0315432,-0.00946679,0.0705848,-0.182491,-0.0774686,0.0529898,0.0520619,-0.0831854,-0.0610697,0.172304,-0.0217014,-0.168109,0.0713743,0.020115,0.195572,0.246667,0.0497267,0.038793,-0.138406,0.0930692,-0.246092,0.0380594,0.176938,0.0991546,0.129262,0.0802871,-0.0331216,0.100613,0.134394,-0.185639,0.0184311,0.148271,-0.106504,-0.00355872,-0.0444907,0.132454,0.0252969,-0.077785,-0.164933,0.13418,-0.127964,-0.0805342,0.0762087,-0.120949,-0.148723,-0.360824,0.00866937,0.377497,0.125699,-0.162822,0.0471289,-0.020033,-0.0456152,0.0874937,0.0558407,-0.0451728,-0.0859357,-0.0890476,0.0532299,0.192687,-0.0931283,0.00966042,0.217738,-0.0050569,0.0726403,0.0258635,0.0784624,-0.0887856,-0.0290145,-0.107243,-0.0154232,0.081602,-0.0554646,-0.026586,0.142544,-0.161827,0.192182,-0.0803275,0.0156863,0.0475776,-0.0913783,-0.0322099,0.0133371,0.159738,-0.222597,0.188209,0.200177,0.000268221,0.0690684,0.0868932,0.0353456,-0.0682435,-0.0459266,-0.236114,-0.100613,-0.0213344,-0.0200994,-0.00821057,0.00781497
alberto fujimori,-0.035298,0.151309,0.0478051,-0.0308713,-0.122482,-0.00514116,-0.0626187,-0.0859864,0.086177,-0.0299237,0.311527,-0.0215329,-0.229008,0.0140324,-0.0437397,0.116203,-0.186805,-0.0133973,-0.161906,-0.0613557,-0.0043043,0.062735,0.0408442,-0.0948967,-0.0781212,-0.32346,-0.100038,-0.0869652,0.1945,-0.0670937,0.0196629,0.0272101,-0.207629,-0.105438,0.0607638,-0.0502325,-0.108273,-0.0259993,0.213678,0.0230006,-0.14702,0.119601,0.0549515,0.233785,0.261538,0.0460449,0.0287285,-0.144377,0.0782453,-0.239951,0.0859195,0.150517,0.191349,0.0832852,0.123215,-0.107762,0.0409215,0.0613539,-0.197107,0.0862125,0.115359,-0.0532236,-0.0228609,-0.03672,0.146261,0.0132142,-0.0941535,-0.12612,0.197219,-0.107307,-0.0225484,0.0846805,-0.0919567,-0.159052,-0.342361,0.0374346,0.392202,0.12724,-0.177954,0.0597896,-0.0276985,-0.0975781,0.0251548,0.0926943,-0.0767938,-0.135324,-0.0252326,0.0665818,0.157672,-0.102732,-0.0310768,0.239211,-0.0161141,0.0328087,0.0210154,0.0977502,-0.130282,-0.0931313,-0.0698932,-0.00918516,0.0371704,-0.0963507,-0.0228831,0.147415,-0.139993,0.180563,-0.0537203,-0.00908872,0.0133112,-0.0628286,0.019412,0.0108213,0.158654,-0.24785,0.270877,0.165713,-0.0529404,0.0543069,0.0688499,0.00899428,0.012748,0.0219886,-0.199506,-0.15101,-0.0553582,-0.0843244,-0.0149604,0.0365078
alberto fujimori,-0.0723033,0.123769,0.121113,0.00335647,-0.0579015,-0.0511541,-0.0344037,-0.10807,0.106433,-0.107428,0.25039,-0.0363044,-0.196025,-0.0428583,-0.0226064,0.171305,-0.244858,-0.0351622,-0.135887,-0.0574911,0.076156,0.0493715,0.0179539,-0.0847336,-0.0278276,-0.339513,-0.106248,-0.0667059,0.12734,-0.0542817,-0.0446721,-0.0868716,-0.24227,-0.148012,0.0122397,-0.0337001,-0.0392484,-0.0578636,0.0971743,-0.00189456,-0.191552,0.080383,0.0587409,0.145492,0.264799,0.0634736,-0.0301222,-0.166894,0.087969,-0.204345,-0.0193028,0.103217,0.10356,0.142704,0.0404427,-0.074887,0.0439191,0.0872017,-0.155783,0.0159742,0.106684,-0.0748547,0.0181256,0.0360094,0.0664993,0.0100956,-0.0325131,-0.20273,0.104559,-0.184755,-0.0626705,0.0375821,-0.0506341,-0.167562,-0.317832,-0.00360001,0.359758,0.11754,-0.160168,0.0219612,-0.0655491,-0.0500752,0.137041,0.0982307,0.0174182,-0.0335317,-0.0378069,0.035218,0.178956,-0.10026,0.0108635,0.251452,-0.0304289,0.058169,0.0248685,0.0804107,-0.0857176,0.0493306,-0.109601,-0.021426,0.0429363,-0.0278236,0.00508944,0.0846432,-0.154637,0.14408,-0.0354521,0.0127734,0.0236339,-0.0788084,-0.00652023,0.00521456,0.127231,-0.184032,0.258017,0.285838,-0.0566301,0.0838709,0.0621218,0.0211697,0.00887887,-0.0227938,-0.200774,-0.077628,-0.0072027,-0.0370203,-0.0105167,-0.0276656
alberto fujimori,-0.00414007,0.0934353,-0.0208813,-0.0260088,-0.0852109,-0.101274,0.0286189,-0.0620725,0.153892,-0.000263174,0.185247,-0.07473,-0.278579,-0.081191,0.0355937,0.0997473,-0.14468,-0.034808,-0.163696,-0.134383,-0.0122532,-0.0137949,0.00322341,0.0204872,-0.090883,-0.241977,-0.0665253,-0.0881321,0.0873196,-0.149136,0.0488841,0.0952499,-0.173338,-0.149059,0.0202168,0.0359914,-0.0871191,-0.0912882,0.184646,-0.027505,-0.11217,0.00654223,0.0360088,0.291575,0.225147,0.00618024,0.0061573,-0.0955316,0.142076,-0.227436,-0.0576527,0.158605,0.112659,0.0725113,0.0984827,-0.0949809,0.0869938,0.131169,-0.267313,0.0554438,0.108223,-0.130483,-0.0782765,-0.0976751,0.171941,0.0247406,-0.0846526,-0.0925953,0.204045,-0.154094,-0.0457149,0.0616656,-0.0601913,-0.197405,-0.279292,0.0306906,0.340286,0.197041,-0.168192,0.0526726,-0.0782853,-0.0349625,0.0507984,0.0292215,-0.0780736,-0.0677099,-0.0998302,0.0726025,0.150347,-0.0737176,0.0220611,0.177904,0.0125445,-0.0280428,-0.00567773,-0.00429951,-0.15549,0.0307771,-0.126154,-0.00811584,0.154703,-0.183118,0.0692242,0.0780878,-0.151788,0.188459,0.0296264,-0.0222769,0.00643548,-0.0597598,-0.0483806,0.0469442,0.202859,-0.26957,0.263757,0.167053,-0.00726134,0.0973875,0.00784167,0.0958048,-0.0409668,-0.0535696,-0.147271,-0.120815,-0.0137684,-0.000841006,0.0446105,0.0215912
chibolin,-0.0747639,0.113267,-0.0499556,-0.0298572,-0.047346,-0.0673182,-0.0315963,-0.0812694,0.183831,-0.0896057,0.147798,-0.0435554,-0.335736,0.00143268,-0.0363543,0.112565,-0.153317,-0.0382951,-0.189471,-0.147824,0.0362447,0.06652,0.0253076,0.00188445,-0.0917918,-0.290628,-0.061909,-0.0794224,0.0272442,-0.12085,0.0240888,0.00686336,-0.140719,-0.0855813,-0.0288446,0.0066408,-0.0204189,-0.0749357,0.164592,0.0514381,-0.126568,-0.0578948,0.00520028,0.303515,0.165368,0.02188,0.0382072,-0.113886,0.140704,-0.318081,0.0534534,0.089375,0.0373346,0.0469686,0.167806,-0.190436,0.0233431,0.096813,-0.172005,0.085567,0.0906038,-0.0267027,-0.0655269,-0.0816503,0.175229,0.0408417,-0.100708,-0.0505712,0.183549,-0.139652,0.0156856,0.0435853,-0.0232774,-0.226852,-0.280034,0.0538643,0.434776,0.166006,-0.110328,0.0491466,-0.0865317,-0.0851665,0.0878843,0.0133352,-0.081976,0.00483692,-0.0908814,0.111598,0.188551,-0.0560926,-0.024022,0.241799,-0.0102926,-0.0231956,0.0377843,0.0890881,-0.168924,0.0100056,-0.0858211,0.0432836,0.178171,-0.216852,0.00387732,0.0205999,-0.159472,0.170394,0.0241635,-0.0379369,0.00264482,-0.0412732,-0.128854,0.0336438,0.223055,-0.252788,0.191191,0.169331,0.0147978,0.189669,0.00146462,0.078691,0.005758,-0.0227576,-0.153457,-0.131369,-0.0132311,0.0225461,-0.0115649,0.0698229,
chibolin,-0.122138,0.0766319,-0.0346662,-0.0839859,-0.104601,-0.071054,-0.0106596,-0.0983763,0.200478,-0.085707,0.0732965,-0.0925824,-0.263778,-0.0322581,-0.0655081,0.0605104,-0.168015,-0.152339,0.00062199,-0.0685933,0.060214,-0.0141872,-0.0155832,0.0525085,-0.109957,-0.336988,-0.0748521,-0.0893272,0.038322,-0.123298,-0.0131613,0.104686,-0.204657,-0.0591758,-0.0178285,0.129835,-0.0106437,-0.0366894,0.112164,0.054742,-0.132494,-0.0423247,0.030153,0.32646,0.126631,0.0540606,0.0177185,-0.0443135,0.113718,-0.227124,0.0218642,0.159142,0.0580549,0.0046589,0.121331,-0.170493,0.0212101,0.0423804,-0.192593,0.112936,0.0831038,0.0409736,-0.0587482,-0.0526472,0.150044,0.0760118,-0.0773092,-0.0769145,0.14116,-0.213266,-0.0278207,0.00967856,-0.0613273,-0.180865,-0.206564,0.0139523,0.343185,0.122128,-0.0732531,0.0398574,-0.0155633,-0.0759828,0.0648006,0.0139701,-0.154871,0.0834258,-0.100597,0.0887713,0.190001,0.009531,0.00910275,0.172091,-0.027787,-0.0385432,0.0200875,0.0430158,-0.130433,0.0369637,-0.13961,-0.0156142,0.130715,-0.22161,-0.0452542,0.0939326,-0.230584,0.0762548,0.00598253,-0.0728658,-0.0665111,0.00122269,-0.173828,0.0109768,0.157414,-0.236634,0.18021,0.228552,0.0285321,0.121825,0.0288431,-0.014598,0.0556431,-0.0297468,-0.076622,-0.137985,-0.000637311,0.00859846,-0.0345036,0.00599925,
chibolin,-0.121517,0.123461,0.105596,-0.0696234,-0.142808,-0.00941793,0.00878122,-0.00684244,0.161552,0.000175036,0.175742,-0.00169008,-0.298379,0.0163019,-0.0426841,0.101594,-0.158073,-0.0872985,-0.0806099,-0.0262249,0.10778,0.0284487,-0.0076266,0.0746611,-0.193172,-0.348139,-0.0513188,-0.104787,-0.0733941,-0.162168,0.0126149,0.0581842,-0.200116,-0.0371013,0.00493356,0.0720221,-0.0682407,-0.0854888,0.149427,0.0419851,-0.120707,0.0406343,-0.0213709,0.291205,0.157895,0.0400535,0.0564957,-0.0317026,0.111042,-0.286266,0.0340128,0.15615,0.0652655,0.0251565,0.167967,-0.120909,0.0357911,0.11625,-0.22084,0.0670966,0.0170192,-0.0876068,-0.0127822,-0.1143,0.164381,0.0328508,-0.10301,-0.0189729,0.139965,-0.0993289,-0.00131437,0.0596897,-0.107483,-0.209693,-0.213448,0.0972827,0.408887,0.180141,-0.181484,0.00663551,-0.0650257,-0.0417686,-0.00722866,0.0246401,-0.0922254,0.0190351,-0.102407,0.157101,0.163891,-0.00631353,0.0474081,0.283722,0.0198119,-0.057931,0.0150741,-0.039369,-0.116754,-0.00492862,-0.0610936,0.0193957,0.0784257,-0.135435,-0.0249786,0.121055,-0.209154,0.0530792,-0.033585,-0.120032,-0.02261,-0.00759184,-0.15658,-0.0321334,0.126605,-0.2878,0.109763,0.133017,-0.0170917,0.130798,-0.048074,-0.0113995,-0.0281435,-0.107689,-0.109361,-0.15041,0.0407498,0.0323729,-0.0134404,-0.0409276,
chibolin,-0.067023,-0.0132419,0.0296384,0.00214701,-0.0934326,-0.103549,0.0511778,-0.11904,0.159256,-0.0839361,0.176928,-0.088113,-0.32005,-0.0565363,0.0365013,0.042249,-0.128869,-0.113476,-0.0622042,-0.128244,0.0995881,0.00286118,0.0480766,0.0176181,-0.0820192,-0.399019,-0.132753,-0.0844281,0.0690012,-0.131423,-0.0453649,0.079194,-0.130381,-0.0843494,-0.00258606,0.101393,-0.0108596,-0.101915,0.173756,-0.0157749,-0.0950778,-0.037231,0.00874577,0.261202,0.137111,0.0397757,0.0728038,-0.071312,0.111036,-0.234551,0.0697483,0.121472,0.170067,-0.0324384,0.170172,-0.184525,-0.0393842,0.109551,-0.215342,0.141157,0.0880425,-0.0647461,-0.0453654,-0.0946491,0.206588,0.108604,-0.0971885,-0.0755818,0.154449,-0.191607,-0.0388839,-0.0205018,-0.107703,-0.182489,-0.226534,0.0252242,0.371368,0.0536021,-0.177141,0.0487599,-0.05225,-0.0235618,0.0873215,0.0340711,-0.126395,0.0395599,-0.177616,0.0686378,0.165266,-0.0516497,-0.0120843,0.181587,-0.0539804,0.0452804,0.0911366,0.0087613,-0.140006,0.0258655,-0.0976171,0.037361,0.102586,-0.242412,-0.0154284,0.0277843,-0.163352,0.0812114,-0.0583799,-0.0514183,-0.0331467,-0.111709,-0.160515,0.0272611,0.177509,-0.328939,0.170542,0.185497,-0.0261706,0.198811,-0.042809,0.0694821,0.0255303,-0.0134068,-0.168209,-0.0533197,0.0146883,1.89277e-05,-0.0265763,0.0351699,
chibolin,-0.104109,0.0587194,0.0608935,0.0339253,-0.0844418,-0.0329854,-0.000351438,-0.107714,0.161807,-0.145421,0.202568,-0.0811642,-0.265246,-0.0448562,-0.0751407,0.172826,-0.153396,-0.113962,-0.0540458,-0.105453,0.0253782,-0.00120518,-0.0166919,0.0324024,-0.0336847,-0.377299,-0.104794,-0.093049,0.0202279,-0.103479,-0.0832462,0.0097393,-0.18396,-0.0810679,-0.00972802,0.0240776,0.0666661,-0.0307188,0.142329,-0.00885201,-0.121946,-0.0250595,0.0823398,0.267989,0.0765944,0.0602122,-0.0256431,-0.0105484,0.0728628,-0.251216,0.0177535,0.0683704,0.162821,0.0112957,0.0986475,-0.187469,-0.00370044,0.0513043,-0.167659,0.12054,0.0279137,-0.0510632,-0.0281181,0.0284053,0.279157,0.128052,-0.0777069,-0.0768494,0.189749,-0.142433,0.0237766,-0.0526966,-0.0704964,-0.166378,-0.267854,0.0369797,0.451472,0.11647,-0.188158,0.0469357,-0.0873794,-0.0148288,0.0922086,0.0418951,-0.109092,0.0654848,-0.1217,0.0858081,0.153229,-0.0111228,-0.03055,0.217286,-0.0507669,0.0489407,0.0498496,0.0220745,-0.082986,-0.0187006,-0.122712,0.0197984,0.102564,-0.130079,0.0165289,0.0855986,-0.203821,0.020322,-0.0225434,-0.0468665,-0.0156607,0.0926287,-0.133667,-0.00974426,0.13778,-0.269602,0.211169,0.190538,-0.0425072,0.161367,0.00570573,0.0236214,0.0539679,-0.0637981,-0.110005,-0.113044,0.0273954,-0.0659806,0.0313657,0.0645545,
messi,-0.0873285,0.179084,0.0456339,-0.0389395,-0.173594,0.111874,-0.0763048,-0.0482341,0.157544,-0.0402861,0.213186,0.00984406,-0.23612,-0.0675099,-0.0283702,0.0886098,-0.105912,-0.0672781,-0.14013,-0.130312,-0.0882518,0.0462877,0.0623728,0.0292414,-0.154344,-0.358009,-0.0647972,-0.10233,0.129868,-0.167856,0.00612952,-0.00825447,-0.138938,-0.0458869,-0.0092576,0.0888398,-0.0926517,-0.1551,0.199474,-0.0501657,-0.081858,0.105536,0.0643921,0.276046,0.162531,0.0021528,0.0567868,-0.03751,0.189455,-0.225693,0.089324,0.106981,0.162489,0.0196998,0.152572,-0.132848,0.000259599,0.171377,-0.241703,0.0707753,0.00871238,0.0569881,-0.0660726,-0.110196,0.230457,0.204322,-0.1169,-0.161884,0.126721,-0.180492,0.032533,0.105063,-0.0550958,-0.148897,-0.180287,0.140949,0.382856,0.203398,-0.164642,-0.00910919,-0.0168256,-0.0941804,-0.0561201,0.0311473,-0.202109,-0.0682426,-0.0560104,0.0407874,0.20352,0.0426873,-0.0236248,0.244137,0.0782935,-0.00629455,0.024357,-0.0305675,-0.194759,-0.0202073,-0.0587458,0.0323213,0.0653829,-0.162373,0.0182081,0.0312567,-0.169551,0.202652,-0.0423128,-0.027661,0.043832,0.0222114,-0.13838,0.0182105,0.256145,-0.3373,0.202459,0.0850857,0.061633,0.152272,0.12667,0.0823757,0.0504994,0.049759,-0.0719298,-0.127335,0.0390433,-0.195331,0.0630214,0.0478019,
messi,-0.148915,0.15432,0.0360626,-0.049624,-0.108104,0.0916524,-0.0525037,-0.0550098,0.218409,-0.0616658,0.235422,0.0158447,-0.276083,0.0603234,-0.0420058,0.124039,-0.18059,-0.0517719,-0.138619,-0.151379,0.0089842,0.127867,0.032691,0.0266404,-0.129119,-0.356957,-0.0611916,-0.0792273,0.111545,-0.116884,-0.00205853,-0.016314,-0.0741486,-0.0242661,0.0523567,0.0524619,-0.0246652,-0.115102,0.252836,0.0218473,-0.0971428,0.0757217,0.0636659,0.331955,0.0760513,-0.00282116,0.0572881,-0.0782416,0.166435,-0.240481,0.10888,0.157725,0.141123,0.0493661,0.142363,-0.13903,-0.0541832,0.174686,-0.189812,0.103349,0.123781,0.00158435,-0.0903842,-0.156269,0.220104,0.195195,-0.181786,-0.176423,0.0553662,-0.0916919,-0.0512677,0.0421294,-0.121342,-0.121446,-0.212941,0.112777,0.401135,0.121153,-0.175925,-0.000727098,-0.0607515,-0.0373256,-0.00151747,0.0784215,-0.150697,-0.0336156,-0.0204973,0.0469474,0.148247,0.0406644,-0.0572427,0.216557,0.047,0.00112785,0.0157653,0.0809659,-0.201697,-0.0909841,-0.0414095,0.00802097,0.0555103,-0.103947,0.0372374,0.0604213,-0.197453,0.220369,-0.0491391,-0.00648498,0.0837285,0.0730317,-0.0884997,-0.00568123,0.196141,-0.324318,0.168801,0.105922,0.017737,0.163071,0.044519,0.10945,-0.0073804,0.131477,-0.106203,-0.14359,0.00959493,-0.0586784,0.0290393,0.0279265,
messi,-0.0327933,0.10753,0.121377,-0.123788,-0.10864,-0.000437142,-0.0521808,-0.0360899,0.159476,-0.111123,0.129924,-0.041443,-0.239347,0.0749898,-0.0192418,0.13118,-0.151727,-0.135285,-0.195459,-0.11846,-0.0144596,0.0817385,-0.0242368,0.018193,-0.104513,-0.204981,-0.029138,-0.0874109,0.01903,-0.12778,0.0443818,0.00819776,-0.133986,0.0146582,-0.0111071,-0.0250938,0.000256394,-0.133921,0.137191,-0.0566063,-0.191266,0.00116582,0.0349369,0.246814,0.209377,0.019204,-0.00323062,-0.0620512,0.168449,-0.289625,0.0166239,0.106524,-0.000821156,0.0789787,0.0910706,-0.18995,0.0240149,0.139362,-0.130744,0.0674402,0.0625106,-0.0714356,-0.0681269,-0.144481,0.218579,0.0545951,-0.144639,-0.194234,0.14205,-0.11742,-0.0691298,0.0900973,-0.138945,-0.101207,-0.220421,0.0332176,0.371008,0.132124,-0.175699,0.0428316,-0.104649,0.0408777,-0.015163,0.056125,-0.0411939,-0.028354,-0.0769046,0.0244179,0.214073,-0.0790518,-0.0246716,0.214905,-0.000710245,-0.0702752,-0.061621,0.0321696,-0.136448,0.0227229,-0.111863,-0.00159312,0.114352,-0.0249273,-0.01687,0.130343,-0.165369,0.209745,-0.0248971,0.0289829,0.0154549,0.0314812,-0.0655904,-0.0268458,0.207254,-0.233441,0.155062,0.174365,0.0867621,0.092691,0.0270981,0.0945373,0.0128246,0.0618422,-0.185145,-0.111665,0.0565165,-0.00217166,-0.012937,0.0866148,
messi,-0.0678007,0.131232,0.0338193,-0.129295,-0.152192,0.142869,-0.0663072,-0.00215329,0.216268,-0.0659389,0.221272,0.0651127,-0.290453,0.0121522,-0.0313055,0.160592,-0.219147,-0.0582343,-0.177693,-0.1457,-0.0251379,0.0984392,-0.0403383,-0.00283702,-0.0933149,-0.319191,-0.0571243,-0.11551,0.0731796,-0.0819913,0.024832,-0.00594092,-0.128578,-0.0627312,0.0198148,-0.0111654,-0.105279,-0.111338,0.211055,0.0347157,-0.0813175,0.0608406,0.118722,0.264066,0.14676,0.0435003,0.0745295,-0.0234241,0.218558,-0.334938,0.114836,0.151099,0.206877,0.114672,0.149298,-0.18047,0.0171661,0.19794,-0.207454,0.140111,0.0770865,-0.0443694,-0.113047,-0.104532,0.246605,0.190222,-0.142132,-0.199336,0.111354,-0.0960968,-0.0975144,0.040664,-0.155045,-0.108364,-0.300147,0.111213,0.374614,0.155532,-0.143143,-0.00899237,-0.0440142,-0.0211392,-0.0343247,0.0495794,-0.156308,-0.106933,-0.00777933,0.0200704,0.173454,-0.00904318,-0.0335158,0.233323,0.055285,-0.0156358,-0.0319859,0.0353029,-0.134198,-0.099834,-0.0478699,0.018888,0.0591042,-0.107293,0.0148889,0.0604766,-0.209458,0.187231,-0.0802324,0.00122278,0.0252483,0.00345816,-0.107559,0.0219222,0.231414,-0.264333,0.216966,0.14781,0.0230649,0.11776,0.0754305,0.07869,-0.0224424,0.0515539,-0.154774,-0.161019,0.044903,-0.0723864,0.00354022,0.0520693,
